CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,13,-,-,-,"1,460.00",-,250,"1,444.75","1,542.70",525,"22,850.00",625,1.35,1.95,650,-0.60,1.55,20.60,"39,264","2,549","4,348",
,498,105,165,-,"1,416.00",6.75,50,"1,427.00","1,477.00",50,"22,900.00","1,625",1.65,1.80,175,-0.45,1.80,20.34,"1,47,707","4,453","23,742",
,22,2,46,-,"1,352.95",472.20,200,"1,376.95","1,415.00",150,"22,950.00",750,1.35,2.20,500,-0.60,1.75,19.64,"87,104","6,157","9,266",
,"6,020",-228,"1,802",-,"1,346.60",42.70,"1,125","1,341.65","1,350.50",75,"23,000.00","3,975",1.75,1.85,425,-0.75,1.80,19.08,"5,93,160","9,751","1,89,570",
,32,-,-,-,"1,285.50",-,525,"1,073.85","1,497.90",525,"23,050.00","10,475",1.60,2.50,"1,375",-0.85,1.70,18.32,"70,592","1,134","19,187",
,573,23,170,-,"1,244.00",36.50,150,"1,244.20","1,252.20",75,"23,100.00","2,025",1.60,2.50,500,-0.45,2.30,18.39,"2,20,114","9,310","35,126",
,33,3,9,-,"1,206.80",-2.50,200,"1,147.05","1,227.40",200,"23,150.00","1,800",1.85,2.40,25,-1.15,1.85,17.30,"63,539","3,263","8,562",
,"2,180",37,373,-,"1,135.80",36.10,300,"1,143.00","1,151.25",150,"23,200.00","1,450",1.75,2.25,"1,475",-1.50,1.75,16.48,"3,58,771","-8,048","51,631",
,355,6,29,22.61,"1,127.50",62.65,650,"1,087.30","1,109.40",25,"23,250.00",900,2.15,2.70,100,-1.50,2.15,16.28,"1,14,064","2,865","18,014",
,"1,963",86,"3,694",-,"1,048.25",44.00,75,"1,044.05","1,051.50",150,"23,300.00",25,2.10,2.50,25,-1.55,2.50,15.96,"3,93,448","35,716","86,748",
,150,-12,170,-,992.10,24.15,550,985.15,"1,047.05",525,"23,350.00","13,000",2.35,2.80,"38,350",-1.85,2.75,15.50,"1,35,585","7,603","16,284",
,"1,866",-144,"1,935",-,945.65,40.20,50,945.35,952.20,50,"23,400.00",550,2.80,2.85,"15,600",-2.40,2.85,14.91,"4,74,226","44,450","89,851",
,509,-24,119,-,895.30,33.10,550,890.75,905.45,75,"23,450.00","1,500",2.55,3.55,"20,400",-2.80,3.25,14.51,"2,26,848","10,545","25,981",
,"10,020",-479,"6,447",-,852.00,34.80,25,847.20,852.15,75,"23,500.00",550,3.80,4.20,"1,800",-3.20,3.80,14.16,"8,58,807","72,193","2,12,536",
,137,-84,253,-,789.45,27.55,75,750.25,805.45,50,"23,550.00",25,4.10,4.50,50,-3.50,4.15,13.65,"2,66,568","17,794","36,707",
,"3,889",-181,"2,502",-,746.75,33.40,50,747.65,754.85,25,"23,600.00",500,4.60,5.00,"2,000",-4.20,5.00,13.35,"6,30,988","40,492","95,077",
,810,-91,"1,141",-,699.00,26.20,925,649.70,705.70,25,"23,650.00","1,025",5.10,5.70,275,-5.80,5.10,12.65,"3,34,254","12,481","29,805",
,"5,212",-53,"4,339",-,656.20,39.40,450,649.15,655.95,25,"23,700.00",25,6.60,7.10,275,-5.85,7.00,12.63,"7,00,457","26,919","77,036",
,526,-138,"1,573",-,601.25,32.25,"1,050",552.50,649.05,700,"23,750.00","1,000",7.45,8.35,625,-7.95,7.80,12.11,"4,18,803","25,926","42,259",
,"8,710",37,"29,870",-,554.90,25.20,50,553.35,559.30,50,"23,800.00",900,9.80,10.20,25,-9.45,9.80,11.87,"8,89,372","57,765","1,23,582",
,"1,218",293,"5,519",-,510.60,28.95,150,505.15,530.80,50,"23,850.00",200,12.20,12.60,"1,275",-10.15,12.60,11.69,"4,41,860","19,387","37,557",
,"7,243",-38,"39,025",-,460.65,21.35,"2,225",460.00,465.90,450,"23,900.00","1,150",15.50,16.45,"1,950",-12.05,16.40,11.57,"8,83,171","32,355","93,978",
,"1,711",388,"18,147",6.53,414.70,21.20,450,414.00,420.75,25,"23,950.00","1,000",19.55,20.50,"1,200",-15.10,19.65,11.19,"5,33,990","20,880","36,758",
,"42,424","4,430","3,09,965",8.36,372.70,19.50,450,370.90,372.60,50,"24,000.00",100,25.25,26.00,50,-17.50,25.30,11.05,"19,53,220","70,184","2,31,573",
,"5,376",933,"72,314",8.37,327.65,17.70,475,326.90,329.90,25,"24,050.00",150,31.55,32.00,100,-18.95,31.70,10.83,"7,78,859","16,327","37,230",
,"43,163","7,452","5,38,899",8.65,286.60,14.70,500,285.70,289.00,"1,025","24,100.00",25,40.10,41.30,"5,050",-22.30,40.10,10.67,"18,38,212","29,433","1,11,628",
,"18,431","11,799","6,10,668",8.70,246.50,10.75,275,247.00,250.00,400,"24,150.00",675,50.00,51.00,800,-25.85,50.20,10.50,"15,77,007","47,561","64,286",
,"87,184","41,549","33,14,319",8.81,210.00,10.10,"1,000",209.00,211.00,925,"24,200.00",400,62.90,64.00,"1,225",-29.80,63.05,10.37,"46,13,869","74,127","1,90,075",
,"38,259","22,935","25,67,954",8.82,175.60,5.90,875,175.30,177.80,50,"24,250.00",150,78.20,79.60,425,-33.35,78.50,10.26,"24,27,462","37,553","66,223",
,"1,34,329","11,167","39,21,554",8.76,143.65,2.00,25,143.65,147.00,575,"24,300.00","1,050",96.60,97.95,50,-34.25,98.00,10.25,"29,61,525","28,129","1,48,418",
,"73,759","22,293","17,43,164",8.92,118.05,2.10,450,117.00,118.70,"8,050","24,350.00",125,119.00,121.00,"1,500",-35.25,121.00,10.28,"8,12,636","12,547","37,640",
,"1,21,897","16,811","25,09,686",8.87,93.30,1.15,950,92.30,93.15,75,"24,400.00",125,144.55,145.90,275,-39.20,144.55,10.10,"8,49,972",-293,"46,728",
